,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,1,-1,1,-1,3,-1,3,-1,4,-1,4,-1,4,-1,1,-1,4,-1,1,-1,2,-1,2,-1,4,-1,4,-1,2,-1,2,-1,2,-1.0,1.0,-1.0,3.0,-1.0,3.0,-1.0,4.0,-1.0,1.0,-1.0,
1,1,-1,2,-1,1,-1,1,-1,1,-1,2,-1,2,-1,1,-1,1,-1,2,-1,2,-1,1,-1,1,-1,2,-1,4,-1,4,-1,4,-1.0,2.0,-1.0,3.0,-1.0,1.0,-1.0,4.0,-1.0,2.0,-1.0,
2,4,-1,2,-1,4,-1,4,-1,3,-1,4,-1,1,-1,3,-1,1,-1,4,-1,2,-1,4,-1,3,-1,4,-1,4,-1,2,-1,-2,,,,,,,,,,,,
3,4,-1,2,-1,4,-1,1,-1,1,-1,1,-1,2,-1,3,-1,1,-1,1,-1,2,-1,4,-1,4,-1,4,-1,1,-1,1,-1,1,-1.0,1.0,-1.0,4.0,-1.0,2.0,-1.0,4.0,-1.0,3.0,-1.0,
4,4,-1,3,-1,4,-1,3,-1,3,-1,2,-1,4,-1,3,-1,4,-1,2,-1,1,-1,2,-1,4,-1,2,-1,3,-1,3,-1,2,-1.0,4.0,-1.0,3.0,-1.0,2.0,-1.0,1.0,-1.0,4.0,-1.0,
5,3,-1,2,-1,4,-1,4,-1,1,-1,3,-1,4,-1,3,-1,2,-1,1,-1,2,-1,4,-1,2,-1,1,-1,2,-1,3,-1,-2,,,,,,,,,,,,
6,2,-1,1,-1,3,-1,4,-1,1,-1,4,-1,1,-1,1,-1,4,-1,4,-1,1,-1,1,-1,4,-1,1,-1,1,-1,2,-1,4,-1.0,1.0,-1.0,1.0,-1.0,4.0,-1.0,4.0,-1.0,1.0,-1.0,
7,2,-1,4,-1,3,-1,4,-1,2,-1,3,-1,4,-1,4,-1,3,-1,1,-1,2,-1,1,-1,3,-1,3,-1,1,-1,2,-1,1,-1.0,2.0,-1.0,3.0,-1.0,1.0,-1.0,3.0,-1.0,4.0,-1.0,
8,1,-1,1,-1,2,-1,4,-1,2,-1,3,-1,4,-1,2,-1,4,-1,1,-1,4,-1,2,-1,4,-1,4,-1,2,-1,4,-1,-2,,,,,,,,,,,,
9,3,-1,2,-1,1,-1,3,-1,3,-1,2,-1,4,-1,3,-1,2,-1,4,-1,4,-1,1,-1,2,-1,3,-1,3,-1,4,-1,4,-1.0,4.0,-1.0,2.0,-1.0,3.0,-1.0,4.0,-1.0,2.0,-1.0,
